Country,Date,Amount,Controller_Processor,Quoted_Art,Type,LLM_Summary
SPAIN,2022-10-09,24000,"CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.",6,Insufficient legal basis for data processing,"On 2022-10-09, the DPA of SPAIN fined CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A. €24000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-10-09,4000,PUNTO BADAL-BCN S.L.,5,Insufficient technical and organisational measures to ensure information security,"On 2022-10-09, the DPA of SPAIN fined PUNTO BADAL-BCN S.L. €4000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
ITALY,2022-07-07,45000,Senseonics Inc.,"5,6,7,9,12,13,27",Non-compliance with general data processing principles,"On 2022-07-07, the DPA of ITALY fined Senseonics Inc. €45000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,7,9,12,13,27)."
ITALY,2022-09-15,100000,Lazio Region,"5,6,9,12,13,14,24",Non-compliance with general data processing principles,"On 2022-09-15, the DPA of ITALY fined Lazio Region €100000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,9,12,13,14,24)."
UNITED KINGDOM,2022-10-04,1547000,Easylife Ltd.,"5,21",Insufficient legal basis for data processing,"On 2022-10-04, the DPA of UNITED KINGDOM fined Easylife Ltd. €1547000 for Insufficient legal basis for data processing (Violating GDPR Article 5,21)."
SPAIN,2022-10-04,6000,Club Náutico el Estacio,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2022-10-04, the DPA of SPAIN fined Club Náutico el Estacio €6000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
DENMARK,2021-08-17,20100,Danish Immigration Agency,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2021-08-17, the DPA of DENMARK fined Danish Immigration Agency €20100 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
AUSTRIA,,600,Private individual,5,Non-compliance with general data processing principles,"On NaT, the DPA of AUSTRIA fined Private individual €600 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
AUSTRIA,,0,Private individual,5,Non-compliance with general data processing principles,"On NaT, the DPA of AUSTRIA fined Private individual €0 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-09-28,31200,"BAYARD REVISTAS, S.A.","5,32,33",Insufficient technical and organisational measures to ensure information security,"On 2022-09-28, the DPA of SPAIN fined BAYARD REVISTAS, S.A. €31200 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32,33)."
ITALY,2022-07-21,3000,Azienda Socio Sanitaria Territoriale Rhodense,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2022-07-21, the DPA of ITALY fined Azienda Socio Sanitaria Territoriale Rhodense €3000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
ITALY,2022-07-21,10000,Stay over s.r.l.,"5,12,13,15,114",Insufficient fulfilment of data subjects rights,"On 2022-07-21, the DPA of ITALY fined Stay over s.r.l. €10000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 5,12,13,15,114)."
ITALY,2022-07-21,2000,Global Service s.r.l.,"5,13",Insufficient fulfilment of information obligations,"On 2022-07-21, the DPA of ITALY fined Global Service s.r.l. €2000 for Insufficient fulfilment of information obligations (Violating GDPR Article 5,13)."
ITALY,2022-07-28,2000,Auto Hi-Fi System S.n.c,"5,13",Non-compliance with general data processing principles,"On 2022-07-28, the DPA of ITALY fined Auto Hi-Fi System S.n.c €2000 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
DENMARK,2022-09-12,6700,Hørsholm municipality,32,Insufficient technical and organisational measures to ensure information security,"On 2022-09-12, the DPA of DENMARK fined Hørsholm municipality €6700 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2022-09-28,720,CLUB NATACIO LLEIDA,5,Non-compliance with general data processing principles,"On 2022-09-28, the DPA of SPAIN fined CLUB NATACIO LLEIDA €720 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-09-28,180,Y OTRO MAS C.B.,13,Insufficient fulfilment of information obligations,"On 2022-09-28, the DPA of SPAIN fined Y OTRO MAS C.B. €180 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
ROMANIA,2022-09-22,2000,Bitfactor SRL,25,Insufficient technical and organisational measures to ensure information security,"On 2022-09-22, the DPA of ROMANIA fined Bitfactor SRL €2000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 25)."
GERMANY,2022-09-21,5000,Surveyor,6,Insufficient legal basis for data processing,"On 2022-09-21, the DPA of GERMANY fined Surveyor €5000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
HUNGARY,2022-09-25,1200,Health insurance provider,"5,31",Non-compliance with general data processing principles,"On 2022-09-25, the DPA of HUNGARY fined Health insurance provider €1200 for Non-compliance with general data processing principles (Violating GDPR Article 5,31)."
HUNGARY,2022-08-08,735,Company,5,Non-compliance with general data processing principles,"On 2022-08-08, the DPA of HUNGARY fined Company €735 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
POLAND,2022-09-07,530,Sułkowice Cultural Center,28,Insufficient data processing agreement,"On 2022-09-07, the DPA of POLAND fined Sułkowice Cultural Center €530 for Insufficient data processing agreement (Violating GDPR Article 28)."
SPAIN,2022-09-23,3000,Private individual,"5,13",Non-compliance with general data processing principles,"On 2022-09-23, the DPA of SPAIN fined Private individual €3000 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
ROMANIA,2022-09-19,2000,Banca Comercială Română SA,25,Insufficient technical and organisational measures to ensure information security,"On 2022-09-19, the DPA of ROMANIA fined Banca Comercială Română SA €2000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 25)."
SPAIN,2022-09-20,1800,Union Sindical Obrera,6,Insufficient legal basis for data processing,"On 2022-09-20, the DPA of SPAIN fined Union Sindical Obrera €1800 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-09-16,2000,Agent of the real estate agency BARCELONA DREAM HOUSE AGENCY,13,Insufficient fulfilment of information obligations,"On 2022-09-16, the DPA of SPAIN fined Agent of the real estate agency BARCELONA DREAM HOUSE AGENCY €2000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2022-09-16,3000,"MARIELI GABRIELA, S.L.",6,Insufficient legal basis for data processing,"On 2022-09-16, the DPA of SPAIN fined MARIELI GABRIELA, S.L. €3000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
GERMANY,2022-09-21,50000,Property development company,"6,14",Insufficient legal basis for data processing,"On 2022-09-21, the DPA of GERMANY fined Property development company €50000 for Insufficient legal basis for data processing (Violating GDPR Article 6,14)."
GERMANY,2022-09-20,525000,Company,38,Insufficient involvement of data protection officer,"On 2022-09-20, the DPA of GERMANY fined Company €525000 for Insufficient involvement of data protection officer (Violating GDPR Article 38)."
SPAIN,2022-07-15,600,Private individual,"5,13",Non-compliance with general data processing principles,"On 2022-07-15, the DPA of SPAIN fined Private individual €600 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2022-09-04,1500,Private individual,5,Non-compliance with general data processing principles,"On 2022-09-04, the DPA of SPAIN fined Private individual €1500 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-08-28,5600,SOLIVESA MASTER FRANCHISE S.L.,"28,48",Insufficient fulfilment of data subjects rights,"On 2022-08-28, the DPA of SPAIN fined SOLIVESA MASTER FRANCHISE S.L. €5600 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 28,48)."
SPAIN,2022-08-28,48000,"NATURGY ENERGY GROUP, S.A.","5,32",Non-compliance with general data processing principles,"On 2022-08-28, the DPA of SPAIN fined NATURGY ENERGY GROUP, S.A. €48000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
ROMANIA,2022-09-08,8000,Realmedia Network SA,32,Insufficient technical and organisational measures to ensure information security,"On 2022-09-08, the DPA of ROMANIA fined Realmedia Network SA €8000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2022-09-16,10000,"SOPHIE ET VOILA, S.L",6,Insufficient legal basis for data processing,"On 2022-09-16, the DPA of SPAIN fined SOPHIE ET VOILA, S.L €10000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-09-16,480,Private individual,5,Non-compliance with general data processing principles,"On 2022-09-16, the DPA of SPAIN fined Private individual €480 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-06-16,2000,Federazione Italiana Nuoto,"12,15",Insufficient fulfilment of data subjects rights,"On 2022-06-16, the DPA of ITALY fined Federazione Italiana Nuoto €2000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,15)."
ITALY,2022-06-30,5000,"Federazione Italiana Sommelier, Albergatori e Ristoratori",5,Non-compliance with general data processing principles,"On 2022-06-30, the DPA of ITALY fined Federazione Italiana Sommelier, Albergatori e Ristoratori €5000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-09-04,360,Store owner,"5,13",Non-compliance with general data processing principles,"On 2022-09-04, the DPA of SPAIN fined Store owner €360 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2022-09-06,20000,"MUXERS CONCEPT, S.L.",6,Insufficient legal basis for data processing,"On 2022-09-06, the DPA of SPAIN fined MUXERS CONCEPT, S.L. €20000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-09-09,180,EURO DONER KEBAB,"5,13",Non-compliance with general data processing principles,"On 2022-09-09, the DPA of SPAIN fined EURO DONER KEBAB €180 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
ROMANIA,2022-09-09,2000,SC Raiffeisen Bank SA,5,Non-compliance with general data processing principles,"On 2022-09-09, the DPA of ROMANIA fined SC Raiffeisen Bank SA €2000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-09-09,300,Private individual,5,Non-compliance with general data processing principles,"On 2022-09-09, the DPA of SPAIN fined Private individual €300 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-09-13,2000,Private individual,5,Non-compliance with general data processing principles,"On 2022-09-13, the DPA of SPAIN fined Private individual €2000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
FRANCE,2022-09-13,250000,GIE INFOGREFFE,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2022-09-13, the DPA of FRANCE fined GIE INFOGREFFE €250000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SPAIN,2022-09-13,300,Private individual,5,Non-compliance with general data processing principles,"On 2022-09-13, the DPA of SPAIN fined Private individual €300 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
NORWAY,2022-08-25,20000,Recover AS,6,Insufficient legal basis for data processing,"On 2022-08-25, the DPA of NORWAY fined Recover AS €20000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-09-01,240,MH VILASECA S.L.,13,Insufficient fulfilment of information obligations,"On 2022-09-01, the DPA of SPAIN fined MH VILASECA S.L. €240 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2022-08-30,1700,Bazar Pekin,"13,30",Insufficient fulfilment of information obligations,"On 2022-08-30, the DPA of SPAIN fined Bazar Pekin €1700 for Insufficient fulfilment of information obligations (Violating GDPR Article 13,30)."
ROMANIA,2022-08-29,1000,Alpha Bank Romania SA,"29,32",Insufficient technical and organisational measures to ensure information security,"On 2022-08-29, the DPA of ROMANIA fined Alpha Bank Romania SA €1000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 29,32)."
SPAIN,2022-08-28,1200,"DIGITECNIA SOLUTIONS, S.L.",6,Insufficient legal basis for data processing,"On 2022-08-28, the DPA of SPAIN fined DIGITECNIA SOLUTIONS, S.L. €1200 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
